,user,text,favorite_count,retweet_count,created_at
116,FutSheriff,"🚨Salah, Kane and Trippier also CONFIRMED🔥

Deserved?

Make sure to follow @FutSheriff and @Criminal__x 

💰 If you want to make coins &amp; learn the market 📈join my Trading group with @MitchTrading (link on description)

💸🤑  If you want to buy coins use my creator code… https://t.co/gRK4a1Nl3v https://t.co/w4U7FHXM0R",4317,90,2023-05-04 11:02:53+00:00
117,FutSheriff,"🚨Manchester City TOTS😍

No Rodri EA?????????

Stats are prediction ✍🏻

Make sure to follow @FutSheriff and @Criminal__x 

💰 If you want to make coins &amp; learn the market 📈join my Trading group with @MitchTrading (link on description)

💸🤑  If you want to buy coins use my… https://t.co/rLi6sIeyvz https://t.co/fmntScqIdy",5246,131,2023-05-04 10:57:14+00:00
118,FutSheriff,"🚨3M FIFA COINS GIVEAWAY for TOTS PL😍👀🔥

To enter:

- LIKE❤️

- Follow + @Aleks_FUT + @LordFootyTips + @_Official_EMA ✅

Simple as that. 

1 WINNER? OR 3 WINNERS?

Good Luck!🤞 https://t.co/wXTRl1YHdS",5413,1425,2023-05-04 10:54:45+00:00
119,FutSheriff,"🚨GGMU🇧🇷 TOTS Players🔥

Make sure to follow @FutSheriff &amp; @Criminal__x !

💰 If you want to make coins &amp; learn the market 📈join my Trading group with @MitchTrading &amp; @ImADuckQuackk (link on description)

💸🤑  If you want to buy coins use my creator code “Sheriff” at… https://t.co/qX3HEUj0IM https://t.co/pxjHBEVarU",4746,154,2023-05-04 10:52:19+00:00
120,FutSheriff,"🚨More for Arsenal😍

Stats are prediction!

Make sure to follow @FutSheriff &amp; @Criminal__x 

#fifa23 https://t.co/qq74u7e5Uo",5796,205,2023-05-04 10:46:41+00:00
121,FutSheriff,"🚨Water is wet!

Stats are prediction ✍🏻

Make sure to follow @FutSheriff and @Criminal__x!
—————————————————-
💰 If you want to make coins &amp; learn the market 📈join my Trading group with @MitchTrading (link on description)

💸🤑  If you want to buy coins use my creator code… https://t.co/TmBGMsiHa9 https://t.co/y7APpd3SoU",2546,60,2023-05-04 10:35:23+00:00
122,FutSheriff,"🚨Arsenal TOTS😍

Insane season. Well deserved!🔥

Make sure to follow @FutSheriff &amp; @Criminal__x 

💰 If you want to make coins &amp; learn the market 📈join my Trading group with @MitchTrading (link on description)

💸🤑  If you want to buy coins use my creator code “Sheriff” at… https://t.co/xrqbHVQ45V https://t.co/i8VJAjE1Qj",6582,338,2023-05-04 10:29:34+00:00
123,FutSheriff,@DannyAaronsFUT @Criminal__x @MitchTrading https://t.co/Ac9oxzDvt5,65,1,2023-05-04 10:25:27+00:00
124,FutSheriff,"🚨@brunoog97 🇧🇷 is CONFIRMED as TOTS PL🔥

Well deserved ❤️❤️❤️

Make sure to follow @FutSheriff and @Criminal__x 

#fifa23 https://t.co/KoGAI5zppn",12020,293,2023-05-04 10:11:39+00:00
125,FutSheriff,@ThisIsFG_ https://t.co/G2yVZ2PNb0,56,0,2023-05-04 07:51:49+00:00
126,FutSheriff,@ThisIsFG_ Happy birthday legendddd🔥❤️,85,0,2023-05-04 06:00:58+00:00
127,FutSheriff,"🚨@Laporte is coming as FLASHBACK TOTS SBC😍

Stats are prediction ✍🏻

Make sure to follow @FutSheriff and @Criminal__x ❤️

#fifa23 https://t.co/kQUVR1BWiY",8875,180,2023-05-03 20:58:52+00:00
128,FutSheriff,and people said that Haaland would not be so good in the Premier League…,1405,28,2023-05-03 20:33:00+00:00
129,FutSheriff,@DannyAaronsFUT Happy birthday danny!❤️,192,1,2023-05-03 20:31:33+00:00
130,FutSheriff,@Ivancinhotv @FraFilter https://t.co/NlUzKNsekF,18,0,2023-05-03 19:38:05+00:00
131,FutSheriff,@Ivancinhotv @FraFilter https://t.co/SMF1F1sXOO,47,0,2023-05-03 19:28:07+00:00
132,FutSheriff,CREATOR CODE ” SHERIFF “  for more🔥🔥 https://t.co/ggsAUCvxGM,157,3,2023-05-03 19:14:47+00:00
